,AccidentArea,Sex,Fault,PoliceReportFiled,WitnessPresent,AgentType,Make,MaritalStatus,PolicyType,VehiclePrice,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,DriverRating,Deductible,Age,delay_weeks,FraudFound_P
6047,1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.3234321291912575,2.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,400.0,-0.7266627725847196,0.5611646959685037,0
7254,1.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.3234321291912575,3.0,4.0,2.0,6.0,3.0,0.0,0.0,4.0,400.0,0.30022150011126536,-1.487582852698519,0
12657,1.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,0.0,5.0,2.0,0.0,0.0,4.0,400.0,-1.1216182620831754,0.5611646959685037,0
461,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,400.0,-1.2006093599828664,0.6021396469418442,0
9945,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,3.0,6.0,3.0,0.0,0.0,1.0,400.0,-0.4896894788856461,-1.5285578036718594,1
12932,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,2.0,7.0,3.0,0.0,0.0,2.0,400.0,0.7741680875094122,0.6021396469418442,0
8239,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,2.0,4.0,1.0,7.0,0.0,0.0,0.0,3.0,400.0,0.9321502833087946,0.6021396469418442,0
679,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,1.0,7.0,0.0,0.0,0.0,1.0,400.0,1.2481146749075591,0.5611646959685037,0
10390,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,2.0,7.0,3.0,0.0,0.0,1.0,400.0,0.6161858917100299,0.5611646959685037,0
12188,0.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.36215059342369804,5.0,4.0,0.0,4.0,0.0,3.0,0.0,4.0,400.0,-1.516573751581631,0.6021396469418442,0
6312,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.3234321291912575,1.0,4.0,3.0,5.0,0.0,0.0,0.0,2.0,400.0,-0.9636360662837931,0.5611646959685037,0
9862,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3234321291912575,2.0,4.0,2.0,7.0,2.0,0.0,0.0,3.0,400.0,1.6430701644060148,0.6021396469418442,0
8941,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.022050716648291068,5.0,4.0,2.0,6.0,1.0,0.0,0.0,2.0,400.0,-0.7266627725847196,-1.8563574114585832,0
8862,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.022050716648291068,5.0,4.0,0.0,6.0,1.0,0.0,0.0,3.0,400.0,-0.17372508728688155,0.6021396469418442,0
1969,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,2.0,4.0,3.0,7.0,2.0,0.0,0.0,3.0,400.0,0.6161858917100299,0.6021396469418442,0
7421,0.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.2649977300732862,1.0,4.0,0.0,6.0,3.0,0.0,0.0,1.0,400.0,0.6951769896097211,0.6021396469418442,1
7014,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.36215059342369804,2.0,4.0,2.0,6.0,0.0,0.0,0.0,3.0,400.0,-0.8056538704844107,-1.8563574114585832,0
12098,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.36215059342369804,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,400.0,-1.2006093599828664,-1.1597832449117955,0
7876,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,1.0,5.0,0.0,0.0,0.0,4.0,400.0,-0.9636360662837931,-1.118808293938455,0
6083,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.36215059342369804,1.0,4.0,2.0,5.0,0.0,0.0,0.0,3.0,400.0,-1.0426271641834841,0.6021396469418442,0
7517,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.3234321291912575,2.0,4.0,3.0,5.0,0.0,4.0,1.0,1.0,400.0,-0.8846449683841019,0.6021396469418442,0
12072,1.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0.2649977300732862,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,400.0,-1.43758265368194,0.6021396469418442,0
2105,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,1.0,4.0,2.0,5.0,2.0,0.0,0.0,1.0,400.0,-1.516573751581631,-1.8563574114585832,0
9824,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,1.0,4.0,3.0,6.0,0.0,0.0,0.0,2.0,400.0,-0.7266627725847196,0.6021396469418442,0
10526,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.36215059342369804,1.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,400.0,-0.8056538704844107,-1.8563574114585832,0
15241,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.2649977300732862,1.0,4.0,3.0,3.0,3.0,0.0,0.0,4.0,400.0,-1.7535470452807045,-1.8563574114585832,0
2581,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,0.0,6.0,3.0,0.0,0.0,3.0,400.0,-0.015742891487499255,-1.8153824604852427,0
1500,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.36215059342369804,1.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,400.0,-1.2006093599828664,-1.8153824604852427,0
7982,1.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0,400.0,-0.4896894788856461,0.5611646959685037,0
13231,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.2649977300732862,2.0,4.0,1.0,6.0,3.0,0.0,0.0,1.0,400.0,-0.4896894788856461,0.6431145979151847,0
12521,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,2.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,400.0,-0.33170728308626385,0.5611646959685037,0
6185,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,0.0,6.0,0.0,0.0,0.0,3.0,400.0,-0.09473398938719041,0.5611646959685037,0
8667,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,2.0,4.0,1.0,7.0,0.0,0.0,0.0,1.0,400.0,0.6161858917100299,-1.7744075095119023,0
1731,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.022569557040015564,5.0,4.0,0.0,7.0,0.0,0.0,0.0,3.0,400.0,1.0901324791081768,0.6021396469418442,0
6955,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,1.0,5.0,3.0,0.0,0.0,1.0,400.0,-0.09473398938719041,-1.8153824604852427,0
1104,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.2649977300732862,1.0,4.0,0.0,6.0,3.0,0.0,0.0,3.0,400.0,0.14223930431188306,0.6021396469418442,0
3599,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,1.0,4.0,1.0,5.0,3.0,0.0,0.0,2.0,400.0,-1.0426271641834841,-1.6924576075652213,0
8252,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,1.0,4.0,3.0,7.0,0.0,4.0,1.0,1.0,400.0,1.0111413812084857,0.5611646959685037,0
7951,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.3234321291912575,5.0,4.0,2.0,6.0,3.0,0.0,0.0,2.0,400.0,-0.17372508728688155,-1.6924576075652213,0
10268,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.36215059342369804,1.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,400.0,-1.2796004578825577,0.6021396469418442,0
2689,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.2649977300732862,1.0,4.0,1.0,7.0,3.0,0.0,0.0,3.0,400.0,0.5371947938103387,0.5611646959685037,0
8894,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2649977300732862,3.0,4.0,0.0,7.0,2.0,0.0,0.0,2.0,400.0,3.0649099266004556,0.5611646959685037,0
3049,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,2.0,7.0,0.0,0.0,0.0,1.0,400.0,0.30022150011126536,0.5611646959685037,0
923,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.022569557040015564,5.0,4.0,1.0,4.0,0.0,0.0,0.0,4.0,400.0,0.37921259801095647,-1.7744075095119023,0
10202,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,0.0,4.0,1.0,7.0,3.0,0.0,0.0,3.0,400.0,2.9859188287007643,0.5611646959685037,0
9591,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,2.0,6.0,3.0,0.0,0.0,3.0,400.0,0.2212304022115742,-1.2007581958851359,0
1119,1.0,1.0,1.0,0.0,0.0,0.0,18.0,2.0,0.2649977300732862,5.0,4.0,2.0,7.0,2.0,0.0,0.0,3.0,400.0,1.0901324791081768,0.6021396469418442,0
6555,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.36215059342369804,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,400.0,-0.410698380985955,0.5611646959685037,0
10912,1.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,0.3234321291912575,2.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,400.0,0.2212304022115742,0.5611646959685037,0
9066,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2649977300732862,1.0,4.0,0.0,4.0,3.0,0.0,0.0,2.0,400.0,-0.410698380985955,0.5611646959685037,0
11516,1.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,0.3234321291912575,1.0,4.0,1.0,5.0,3.0,0.0,0.0,3.0,400.0,-0.7266627725847196,0.5611646959685037,0
10579,1.0,1.0,0.0,0.0,0.0,1.0,13.0,1.0,0.36215059342369804,2.0,4.0,0.0,5.0,2.0,0.0,0.0,4.0,400.0,0.14223930431188306,-1.7334325585385617,0
3565,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,400.0,-0.33170728308626385,0.5611646959685037,0
10538,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.3234321291912575,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,400.0,-1.8325381431803958,0.5611646959685037,0
9855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2649977300732862,2.0,4.0,2.0,6.0,3.0,0.0,0.0,3.0,400.0,1.0901324791081768,0.5611646959685037,0
1193,1.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.3234321291912575,1.0,4.0,3.0,5.0,0.0,0.0,0.0,4.0,400.0,-0.09473398938719041,0.6840895488885251,0
372,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.36215059342369804,2.0,4.0,0.0,6.0,1.0,0.0,0.0,2.0,700.0,0.14223930431188306,0.6021396469418442,0
7908,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.36215059342369804,1.0,4.0,2.0,3.0,0.0,0.0,0.0,3.0,400.0,-1.5955648494813222,-1.5695327546452,0
5408,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,0.0,7.0,1.0,0.0,0.0,2.0,400.0,0.7741680875094122,0.6021396469418442,0
398,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.2649977300732862,1.0,4.0,1.0,7.0,3.0,0.0,0.0,3.0,400.0,1.4850879686066325,0.5611646959685037,0
15416,0.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.36215059342369804,1.0,4.0,3.0,4.0,1.0,0.0,0.0,4.0,400.0,-1.2796004578825577,-1.8563574114585832,1
10236,1.0,1.0,0.0,0.0,1.0,0.0,13.0,1.0,0.2649977300732862,1.0,4.0,1.0,5.0,0.0,0.0,0.0,4.0,400.0,-0.2527161851865727,-1.8563574114585832,0
12250,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.2649977300732862,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,-1.9115292410800868,-1.7334325585385617,0
12025,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,1.0,4.0,1.0,7.0,3.0,0.0,0.0,4.0,400.0,1.2481146749075591,0.6021396469418442,0
11562,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,2.0,4.0,2.0,6.0,3.0,0.0,0.0,3.0,700.0,-0.015742891487499255,0.6021396469418442,0
836,1.0,0.0,1.0,0.0,0.0,1.0,17.0,1.0,0.36215059342369804,1.0,4.0,1.0,3.0,0.0,0.0,0.0,4.0,400.0,-0.8056538704844107,0.5611646959685037,0
12558,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.2649977300732862,0.0,4.0,2.0,6.0,1.0,0.0,0.0,3.0,400.0,2.4329811434029263,0.5611646959685037,0
6362,0.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.3234321291912575,1.0,4.0,3.0,5.0,0.0,4.0,1.0,4.0,400.0,-0.9636360662837931,0.5611646959685037,0
2396,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,5.0,4.0,2.0,7.0,3.0,3.0,0.0,3.0,500.0,1.0111413812084857,0.5611646959685037,0
14150,1.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.36215059342369804,1.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,400.0,-1.1216182620831754,0.5611646959685037,0
438,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.3234321291912575,1.0,4.0,3.0,6.0,1.0,0.0,0.0,1.0,400.0,-0.9636360662837931,0.5611646959685037,0
13332,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.2649977300732862,1.0,4.0,0.0,7.0,1.0,0.0,0.0,4.0,400.0,1.722061262305706,0.5611646959685037,0
10982,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.2649977300732862,0.0,4.0,2.0,2.0,0.0,4.0,1.0,4.0,400.0,-1.6745559473810134,0.5611646959685037,0
3223,1.0,1.0,1.0,0.0,0.0,0.0,18.0,1.0,0.3234321291912575,5.0,4.0,2.0,6.0,3.0,0.0,0.0,1.0,700.0,-0.17372508728688155,0.5611646959685037,0
9069,1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.36215059342369804,1.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,400.0,0.5371947938103387,0.6021396469418442,1
1680,0.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,2.0,4.0,1.0,7.0,0.0,0.0,2.0,1.0,400.0,1.9590345560047795,-1.2007581958851359,0
11864,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,400.0,-0.6476716746850284,0.5611646959685037,0
2698,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,2.0,6.0,1.0,0.0,0.0,2.0,400.0,-1.0426271641834841,-1.8563574114585832,0
12978,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,0.0,4.0,0.0,7.0,0.0,0.0,0.0,2.0,400.0,1.169123577007868,0.6021396469418442,0
56,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.2649977300732862,1.0,4.0,2.0,5.0,0.0,0.0,0.0,4.0,400.0,-0.8056538704844107,0.6021396469418442,0
5420,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,1.0,4.0,0.0,6.0,3.0,0.0,0.0,1.0,400.0,-0.33170728308626385,0.5611646959685037,0
13656,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.36215059342369804,5.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,400.0,-0.8846449683841019,0.6021396469418442,0
499,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.36215059342369804,1.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,400.0,0.37921259801095647,0.5611646959685037,0
13379,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,5.0,4.0,1.0,7.0,3.0,0.0,0.0,3.0,400.0,2.196007849703853,0.6840895488885251,0
9409,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,3.0,0.0,0.0,3.0,400.0,-0.7266627725847196,0.6021396469418442,0
5446,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.2649977300732862,1.0,4.0,1.0,5.0,3.0,0.0,0.0,1.0,400.0,-0.8056538704844107,0.5611646959685037,0
8846,1.0,1.0,0.0,0.0,0.0,0.0,18.0,2.0,0.3234321291912575,2.0,4.0,3.0,5.0,3.0,0.0,0.0,1.0,400.0,-0.9636360662837931,0.5611646959685037,0
2639,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,1.0,4.0,2.0,7.0,3.0,0.0,0.0,1.0,400.0,1.722061262305706,-1.6924576075652213,0
9741,0.0,1.0,1.0,0.0,0.0,1.0,13.0,2.0,0.3234321291912575,1.0,4.0,2.0,5.0,3.0,0.0,0.0,2.0,400.0,-1.0426271641834841,0.5611646959685037,0
6896,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.022050716648291068,3.0,4.0,3.0,6.0,0.0,0.0,0.0,4.0,400.0,-0.410698380985955,-1.8153824604852427,0
8692,1.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,2.0,4.0,2.0,4.0,3.0,0.0,0.0,2.0,400.0,-1.1216182620831754,0.5611646959685037,1
3690,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.36215059342369804,2.0,4.0,1.0,6.0,0.0,0.0,0.0,4.0,400.0,-0.410698380985955,0.6021396469418442,0
13135,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.36215059342369804,1.0,4.0,1.0,4.0,0.0,0.0,0.0,3.0,400.0,-0.6476716746850284,-1.6924576075652213,0
12443,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,3.0,3.0,0.0,1.0,500.0,0.8531591854091034,-1.8563574114585832,0
10219,1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.3234321291912575,1.0,4.0,3.0,6.0,0.0,0.0,0.0,1.0,400.0,0.6951769896097211,0.6840895488885251,0
10525,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,400.0,-0.4896894788856461,0.5611646959685037,0
7101,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,0.0,0.0,0.0,3.0,400.0,0.7741680875094122,0.6021396469418442,0
11322,1.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,2.0,4.0,3.0,6.0,3.0,0.0,0.0,2.0,400.0,-0.09473398938719041,0.5611646959685037,0
15250,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.2649977300732862,2.0,4.0,1.0,6.0,1.0,0.0,0.0,1.0,400.0,-0.2527161851865727,-1.7334325585385617,0
1493,1.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,0.36215059342369804,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,400.0,-1.1216182620831754,0.5611646959685037,0
14522,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,0.0,0.0,0.0,4.0,400.0,-0.6476716746850284,0.5611646959685037,1
13586,1.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,0.0,4.0,1.0,3.0,400.0,-0.8056538704844107,0.6431145979151847,0
10328,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,2.0,7.0,1.0,0.0,0.0,2.0,400.0,1.8800434581050884,0.5611646959685037,0
2814,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.022569557040015564,5.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,400.0,-0.9636360662837931,-1.7744075095119023,0
1082,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,1.0,0.0,0.0,2.0,400.0,-0.8846449683841019,0.5611646959685037,0
12877,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2649977300732862,2.0,4.0,0.0,7.0,3.0,0.0,0.0,2.0,400.0,0.8531591854091034,-1.8563574114585832,0
5894,1.0,1.0,1.0,0.0,0.0,0.0,18.0,1.0,0.3234321291912575,5.0,4.0,3.0,7.0,0.0,0.0,0.0,2.0,400.0,1.8010523602053972,-1.8563574114585832,0
4887,1.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.3234321291912575,1.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,400.0,-0.8846449683841019,0.5611646959685037,0
7995,1.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.2649977300732862,2.0,4.0,1.0,7.0,0.0,0.0,0.0,3.0,400.0,1.9590345560047795,0.5611646959685037,0
8497,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.3234321291912575,5.0,4.0,1.0,6.0,3.0,0.0,0.0,2.0,400.0,-1.0426271641834841,0.5611646959685037,0
4250,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,5.0,4.0,3.0,7.0,1.0,0.0,0.0,1.0,400.0,1.0901324791081768,0.6431145979151847,0
12872,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.2649977300732862,1.0,4.0,1.0,7.0,3.0,4.0,1.0,1.0,400.0,2.6699544371019996,-1.8153824604852427,0
6254,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.022569557040015564,5.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,400.0,-0.8056538704844107,-1.8153824604852427,0
14040,1.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0.2649977300732862,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,400.0,-1.516573751581631,0.6021396469418442,0
9797,1.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,2.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,400.0,-0.4896894788856461,0.6021396469418442,0
