,Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,delay_weeks
30,Dodge,Urban,Male,Married,47,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,more than 7,No,No,Internal,none,no change,1 vehicle,60
31,Honda,Urban,Male,Single,16,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,1,new,No,No,External,none,no change,1 vehicle,61
32,Chevrolet,Urban,Male,Single,42,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
33,Honda,Urban,Male,Single,30,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,60
34,Ford,Urban,Male,Married,42,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
35,Chevrolet,Urban,Male,Single,34,Third Party,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
36,Honda,Urban,Male,Married,30,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,61
37,Mazda,Urban,Male,Single,27,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,61
38,Honda,Urban,Male,Married,55,Policy Holder,Sport - Collision,more than 69000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
39,Toyota,Urban,Male,Married,35,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,7
40,Chevrolet,Urban,Female,Married,35,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,2
41,Pontiac,Urban,Male,Married,44,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,3 to 4,61
42,Toyota,Urban,Female,Single,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,4 years,No,No,External,none,4 to 8 years,2 vehicles,60
43,Honda,Urban,Male,Married,41,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,61
44,Toyota,Urban,Male,Married,72,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,61
45,Pontiac,Urban,Female,Married,29,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,60
46,Pontiac,Urban,Male,Single,32,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,6 years,No,No,Internal,none,no change,1 vehicle,61
47,Mazda,Urban,Male,Married,37,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,60
48,Chevrolet,Urban,Female,Married,37,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,3
49,Pontiac,Urban,Male,Married,59,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
50,Pontiac,Urban,Male,Married,49,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,60
51,Pontiac,Urban,Male,Married,27,Policy Holder,Sedan - Liability,20000 to 29000,0,500,3,more than 30,2 to 4,6 years,No,No,External,3 to 5,2 to 3 years,1 vehicle,60
52,Honda,Rural,Male,Married,21,Policy Holder,Sport - Collision,more than 69000,1,400,4,more than 30,none,4 years,No,No,External,3 to 5,no change,1 vehicle,31
53,Honda,Urban,Male,Married,50,Policy Holder,Sedan - Collision,20000 to 29000,1,400,1,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,3
54,Pontiac,Urban,Male,Single,45,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,60
55,Mazda,Urban,Male,Married,49,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
56,Honda,Urban,Male,Single,30,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,61
57,Accura,Urban,Male,Single,37,Policy Holder,Sedan - Collision,more than 69000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
58,Honda,Rural,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,4,more than 30,none,new,No,No,External,none,no change,1 vehicle,63
59,Chevrolet,Urban,Female,Single,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,61
60,Toyota,Urban,Male,Single,30,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,62
61,Pontiac,Urban,Male,Married,49,Policy Holder,Utility - Collision,40000 to 59000,0,400,4,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,22
62,Honda,Urban,Male,Single,17,Third Party,Sedan - All Perils,more than 69000,0,400,2,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,9
63,Toyota,Urban,Male,Married,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,1
64,Pontiac,Urban,Male,Single,48,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,61
65,Mazda,Urban,Male,Single,31,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,3
66,Mercury,Urban,Male,Single,40,Third Party,Sedan - Collision,more than 69000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,60
67,Mazda,Urban,Male,Married,65,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,61
68,Toyota,Urban,Male,Married,64,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,60
69,Honda,Urban,Male,Married,55,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
70,Honda,Urban,Male,Single,44,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
71,Mazda,Urban,Male,Married,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,60
72,Chevrolet,Urban,Female,Single,28,Third Party,Sedan - Collision,20000 to 29000,0,400,3,15 to 30,1,5 years,No,No,External,none,no change,1 vehicle,21
73,Honda,Urban,Male,Married,47,Third Party,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,60
74,Mazda,Urban,Male,Married,60,Third Party,Sedan - Collision,more than 69000,0,400,3,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1
75,Ford,Urban,Male,Married,33,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,63
76,Chevrolet,Urban,Male,Married,27,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,12
77,Honda,Urban,Female,Married,47,Third Party,Sport - Collision,more than 69000,0,400,3,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,61
78,Jaguar,Rural,Female,Single,29,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,61
79,Toyota,Urban,Female,Married,33,Third Party,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,2
80,Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
81,Mazda,Urban,Male,Single,37,Third Party,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
82,Chevrolet,Urban,Male,Married,36,Third Party,Sedan - All Perils,more than 69000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,3 to 4,21
83,Toyota,Urban,Female,Married,44,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,11
84,Honda,Urban,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,more than 4,new,No,No,External,none,4 to 8 years,2 vehicles,5
85,Chevrolet,Rural,Male,Married,27,Policy Holder,Utility - Liability,more than 69000,0,400,4,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,14
86,Toyota,Urban,Male,Single,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,60
87,Mazda,Urban,Male,Single,39,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,4 years,No,No,External,more than 5,no change,1 vehicle,60
88,Pontiac,Urban,Male,Married,74,Third Party,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,60
89,Honda,Urban,Male,Single,23,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,60
90,Honda,Urban,Female,Single,25,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,60
91,Pontiac,Urban,Male,Single,38,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,more than 4,7 years,No,No,External,3 to 5,1 year,1 vehicle,60
92,Honda,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,62
93,Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Collision,20000 to 29000,0,700,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
94,Honda,Urban,Male,Single,34,Policy Holder,Sport - Collision,more than 69000,1,400,3,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,11
95,Honda,Urban,Male,Married,61,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
96,Toyota,Urban,Male,Married,38,Policy Holder,Sedan - Collision,20000 to 29000,1,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,9
97,Toyota,Urban,Male,Single,40,Policy Holder,Sedan - All Perils,less than 20000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
98,Pontiac,Urban,Male,Married,41,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,11
99,Pontiac,Urban,Male,Married,36,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
100,Chevrolet,Urban,Male,Married,31,Policy Holder,Utility - All Perils,more than 69000,1,400,1,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,9
101,Pontiac,Urban,Female,Married,35,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
102,Ford,Urban,Female,Married,37,Policy Holder,Sedan - All Perils,more than 69000,0,500,2,more than 30,2 to 4,6 years,Yes,No,External,3 to 5,no change,1 vehicle,2
103,Mazda,Urban,Male,Married,55,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,61
104,Pontiac,Urban,Male,Single,31,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,60
105,Dodge,Urban,Male,Married,28,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,none,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,60
106,Mazda,Urban,Male,Married,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
107,Pontiac,Urban,Male,Married,44,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,23
108,Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,23
109,Honda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
110,Toyota,Urban,Male,Single,23,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,19
111,Pontiac,Urban,Male,Single,31,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
112,Honda,Urban,Male,Married,35,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,6
113,Accura,Rural,Male,Married,56,Policy Holder,Utility - All Perils,more than 69000,1,400,2,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,8
114,Chevrolet,Urban,Male,Married,50,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,2
115,Honda,Urban,Male,Single,16,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,2 to 4,4 years,No,No,External,3 to 5,no change,1 vehicle,5
116,Pontiac,Urban,Male,Married,32,Third Party,Sedan - Collision,30000 to 39000,0,400,2,more than 30,1,7 years,No,Yes,External,more than 5,no change,1 vehicle,60
117,Pontiac,Urban,Male,Single,28,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,63
118,Mazda,Urban,Male,Single,68,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,3,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1
119,Honda,Rural,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,1,400,3,more than 30,none,new,No,No,External,none,no change,1 vehicle,62
120,Honda,Rural,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,none,new,No,No,External,none,no change,1 vehicle,7
121,Honda,Rural,Female,Married,18,Third Party,Sport - Collision,more than 69000,0,400,4,more than 30,none,2 years,No,No,External,1 to 2,no change,1 vehicle,61
122,Pontiac,Urban,Male,Single,30,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,60
123,Honda,Urban,Male,Married,51,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,more than 4,more than 7,No,No,External,none,no change,3 to 4,60
124,Toyota,Urban,Male,Single,22,Third Party,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,60
125,Pontiac,Urban,Female,Married,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
126,Dodge,Urban,Male,Married,53,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,none,more than 7,Yes,No,External,none,4 to 8 years,2 vehicles,7
127,Mazda,Urban,Male,Married,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
128,Chevrolet,Rural,Male,Married,27,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,more than 4,6 years,No,Yes,External,none,no change,1 vehicle,60
129,Honda,Urban,Male,Single,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
130,Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,60
131,Honda,Urban,Male,Single,18,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,3 years,No,No,External,more than 5,no change,1 vehicle,60
132,Pontiac,Urban,Male,Married,60,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,61
133,Ford,Urban,Male,Married,53,Policy Holder,Sedan - Collision,more than 69000,0,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
134,Honda,Urban,Male,Single,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,61
135,Pontiac,Urban,Male,Married,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,60
136,Toyota,Urban,Male,Married,41,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,62
137,Toyota,Urban,Male,Married,29,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,2
138,Mercury,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,2
139,Toyota,Urban,Male,Married,34,Policy Holder,Sedan - All Perils,less than 20000,0,400,2,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,16
140,Honda,Urban,Male,Married,51,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
141,Pontiac,Urban,Male,Married,32,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,2
142,Chevrolet,Urban,Male,Married,52,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,5 to 8,1
143,Toyota,Urban,Male,Married,61,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
144,Toyota,Rural,Male,Single,25,Third Party,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,61
145,Mazda,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
146,Mazda,Urban,Male,Single,33,Third Party,Sedan - Liability,30000 to 39000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
147,Toyota,Rural,Male,Married,39,Policy Holder,Sedan - All Perils,30000 to 39000,1,400,3,more than 30,none,more than 7,No,No,External,more than 5,under 6 months,2 vehicles,27
148,Accura,Urban,Male,Single,30,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,61
149,Mazda,Urban,Male,Widow,50,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
150,Pontiac,Urban,Female,Married,31,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
151,Pontiac,Urban,Male,Single,23,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,more than 4,5 years,No,No,External,3 to 5,no change,1 vehicle,60
152,Pontiac,Urban,Male,Single,31,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,60
153,Honda,Urban,Male,Married,50,Third Party,Sedan - All Perils,20000 to 29000,0,500,3,more than 30,2 to 4,7 years,No,No,External,more than 5,2 to 3 years,1 vehicle,2
154,Honda,Urban,Female,Single,33,Third Party,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
155,Accura,Urban,Male,Married,30,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,more than 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1
156,Mazda,Urban,Male,Married,44,Policy Holder,Sedan - Collision,40000 to 59000,0,400,1,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,1
157,Chevrolet,Urban,Male,Married,46,Policy Holder,Sedan - All Perils,more than 69000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,5
158,Honda,Urban,Male,Single,31,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1
159,Honda,Urban,Male,Married,48,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
160,Chevrolet,Urban,Male,Married,33,Policy Holder,Sedan - All Perils,more than 69000,1,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,5
161,Honda,Urban,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,60
162,Chevrolet,Urban,Female,Single,37,Third Party,Sedan - Liability,more than 69000,0,400,3,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,60
163,Toyota,Urban,Male,Married,43,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
164,Toyota,Urban,Female,Married,32,Third Party,Sedan - Collision,30000 to 39000,0,400,1,more than 30,more than 4,4 years,No,No,External,1 to 2,no change,3 to 4,62
