Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Age_Binned,delay_weeks
Honda,Rural,Male,Single,16,Third Party,Sedan - Collision,more than 69000,0,400,3,more than 30,none,new,No,No,External,none,no change,1 vehicle,0-17,1
Ford,Urban,Male,Married,61,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,51-65,1
Ford,Urban,Male,Single,38,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,36-40,61
Ford,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,more than 69000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,41-50,2
Chevrolet,Urban,Female,Married,28,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,26-30,1
Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,31-35,61
Honda,Urban,Male,Married,30,Third Party,Sedan - Liability,more than 69000,0,400,2,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,31-35,2
Mazda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,41-50,4
Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,more than 7,No,No,External,none,4 to 8 years,2 vehicles,41-50,60
Mazda,Urban,Male,Married,63,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,51-65,62
Pontiac,Urban,Male,Single,31,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,31-35,60
Mazda,Urban,Male,Married,45,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,more than 4,more than 7,Yes,No,External,none,no change,1 vehicle,41-50,60
Pontiac,Urban,Male,Married,60,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,51-65,3
Honda,Urban,Male,Married,21,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,21-25,16
Accura,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,41-50,61
Honda,Urban,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,1,400,1,more than 30,none,new,No,No,External,none,no change,1 vehicle,0-17,13
Mazda,Urban,Female,Married,39,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,36-40,61
Dodge,Urban,Male,Married,47,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,more than 7,No,No,Internal,none,no change,1 vehicle,41-50,60
Honda,Urban,Male,Single,17,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,1,new,No,No,External,none,no change,1 vehicle,0-17,61
Chevrolet,Urban,Male,Single,42,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,41-50,60
Honda,Urban,Male,Single,30,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,31-35,60
Ford,Urban,Male,Married,42,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,41-50,60
Chevrolet,Urban,Male,Single,34,Third Party,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,31-35,60
Honda,Urban,Male,Married,30,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,31-35,61
Mazda,Urban,Male,Single,27,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,26-30,61
Honda,Urban,Male,Married,55,Policy Holder,Sport - Collision,more than 69000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,51-65,60
Toyota,Urban,Male,Married,35,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,36-40,7
Chevrolet,Urban,Female,Married,35,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,36-40,2
Pontiac,Urban,Male,Married,44,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,3 to 4,41-50,61
Toyota,Urban,Female,Single,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,4 years,No,No,External,none,4 to 8 years,2 vehicles,41-50,60
Honda,Urban,Male,Married,41,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,41-50,61
Toyota,Urban,Male,Married,72,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,65+,61
Pontiac,Urban,Female,Married,29,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,26-30,60
Pontiac,Urban,Male,Single,32,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,6 years,No,No,Internal,none,no change,1 vehicle,31-35,61
Mazda,Urban,Male,Married,37,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,36-40,60
Chevrolet,Urban,Female,Married,37,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,36-40,3
Pontiac,Urban,Male,Married,59,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,51-65,60
Pontiac,Urban,Male,Married,49,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,41-50,60
Pontiac,Urban,Male,Married,27,Policy Holder,Sedan - Liability,20000 to 29000,0,500,3,more than 30,2 to 4,6 years,No,No,External,3 to 5,2 to 3 years,1 vehicle,26-30,60
Honda,Rural,Male,Married,21,Policy Holder,Sport - Collision,more than 69000,1,400,4,more than 30,none,4 years,No,No,External,3 to 5,no change,1 vehicle,21-25,31
Honda,Urban,Male,Married,50,Policy Holder,Sedan - Collision,20000 to 29000,1,400,1,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,51-65,3
Pontiac,Urban,Male,Single,45,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,41-50,60
Mazda,Urban,Male,Married,49,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,41-50,60
Honda,Urban,Male,Single,30,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,31-35,61
Accura,Urban,Male,Single,37,Policy Holder,Sedan - Collision,more than 69000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,36-40,60
Honda,Rural,Male,Single,16,Policy Holder,Sedan - Liability,more than 69000,0,400,4,more than 30,none,new,No,No,External,none,no change,1 vehicle,0-17,63
Chevrolet,Urban,Female,Single,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,26-30,61
Toyota,Urban,Male,Single,30,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,31-35,62
Pontiac,Urban,Male,Married,49,Policy Holder,Utility - Collision,40000 to 59000,0,400,4,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,41-50,22
Honda,Urban,Male,Single,16,Third Party,Sedan - All Perils,more than 69000,0,400,2,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,0-17,9
Toyota,Urban,Male,Married,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,26-30,1
Pontiac,Urban,Male,Single,48,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,41-50,61
Mazda,Urban,Male,Single,31,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,31-35,3
Mercury,Urban,Male,Single,40,Third Party,Sedan - Collision,more than 69000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,41-50,60
Mazda,Urban,Male,Married,65,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,65+,61
Toyota,Urban,Male,Married,64,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,51-65,60
Honda,Urban,Male,Married,55,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,51-65,60
Honda,Urban,Male,Single,44,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,41-50,60
Mazda,Urban,Male,Married,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,26-30,60
Chevrolet,Urban,Female,Single,28,Third Party,Sedan - Collision,20000 to 29000,0,400,3,15 to 30,1,5 years,No,No,External,none,no change,1 vehicle,26-30,21
Honda,Urban,Male,Married,47,Third Party,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,41-50,60
Mazda,Urban,Male,Married,60,Third Party,Sedan - Collision,more than 69000,0,400,3,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,51-65,1
Ford,Urban,Male,Married,33,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,31-35,63
Chevrolet,Urban,Male,Married,27,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,26-30,12
Honda,Urban,Female,Married,47,Third Party,Sport - Collision,more than 69000,0,400,3,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,41-50,61
Jaguar,Rural,Female,Single,29,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,26-30,61
Toyota,Urban,Female,Married,33,Third Party,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,31-35,2
Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,36-40,60
Mazda,Urban,Male,Single,37,Third Party,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,36-40,61
Chevrolet,Urban,Male,Married,36,Third Party,Sedan - All Perils,more than 69000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,3 to 4,36-40,21
Toyota,Urban,Female,Married,44,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,41-50,11
Honda,Urban,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,more than 4,new,No,No,External,none,4 to 8 years,2 vehicles,0-17,5
Chevrolet,Rural,Male,Married,27,Policy Holder,Utility - Liability,more than 69000,0,400,4,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,26-30,14
Toyota,Urban,Male,Single,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,26-30,60
Mazda,Urban,Male,Single,39,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,4 years,No,No,External,more than 5,no change,1 vehicle,36-40,60
Pontiac,Urban,Male,Married,74,Third Party,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,65+,60
Honda,Urban,Male,Single,23,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,21-25,60
Honda,Urban,Female,Single,25,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,26-30,60
Pontiac,Urban,Male,Single,38,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,more than 4,7 years,No,No,External,3 to 5,1 year,1 vehicle,36-40,60
Honda,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,41-50,62
Pontiac,Urban,Male,Married,38,Policy Holder,Sedan - Collision,20000 to 29000,0,700,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,36-40,61
Honda,Urban,Male,Single,34,Policy Holder,Sport - Collision,more than 69000,1,400,3,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,31-35,11
Honda,Urban,Male,Married,61,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,51-65,60
Toyota,Urban,Male,Married,38,Policy Holder,Sedan - Collision,20000 to 29000,1,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,36-40,9
Toyota,Urban,Male,Single,40,Policy Holder,Sedan - All Perils,less than 20000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,41-50,61
Pontiac,Urban,Male,Married,41,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,41-50,11
Pontiac,Urban,Male,Married,36,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,36-40,61
Chevrolet,Urban,Male,Married,31,Policy Holder,Utility - All Perils,more than 69000,1,400,1,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,31-35,9
Pontiac,Urban,Female,Married,35,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,36-40,60
Ford,Urban,Female,Married,37,Policy Holder,Sedan - All Perils,more than 69000,0,500,2,more than 30,2 to 4,6 years,Yes,No,External,3 to 5,no change,1 vehicle,36-40,2
Mazda,Urban,Male,Married,55,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,51-65,61
Pontiac,Urban,Male,Single,31,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,31-35,60
Dodge,Urban,Male,Married,28,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,none,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,26-30,60
Mazda,Urban,Male,Married,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,26-30,60
Pontiac,Urban,Male,Married,44,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,41-50,23
Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,41-50,23
Honda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,41-50,60
Toyota,Urban,Male,Single,23,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,21-25,19
Pontiac,Urban,Male,Single,31,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,31-35,60
Honda,Urban,Male,Married,35,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,36-40,6
Accura,Rural,Male,Married,56,Policy Holder,Utility - All Perils,more than 69000,1,400,2,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,51-65,8
Chevrolet,Urban,Male,Married,50,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,51-65,2
Honda,Urban,Male,Single,16,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,2 to 4,4 years,No,No,External,3 to 5,no change,1 vehicle,0-17,5
Pontiac,Urban,Male,Married,32,Third Party,Sedan - Collision,30000 to 39000,0,400,2,more than 30,1,7 years,No,Yes,External,more than 5,no change,1 vehicle,31-35,60
Pontiac,Urban,Male,Single,28,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,26-30,63
Mazda,Urban,Male,Single,68,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,3,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,65+,1
Honda,Rural,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,1,400,3,more than 30,none,new,No,No,External,none,no change,1 vehicle,0-17,62
Honda,Rural,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,none,new,No,No,External,none,no change,1 vehicle,0-17,7
Honda,Rural,Female,Married,18,Third Party,Sport - Collision,more than 69000,0,400,4,more than 30,none,2 years,No,No,External,1 to 2,no change,1 vehicle,18-20,61
Pontiac,Urban,Male,Single,30,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,31-35,60
Honda,Urban,Male,Married,51,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,more than 4,more than 7,No,No,External,none,no change,3 to 4,51-65,60
Toyota,Urban,Male,Single,22,Third Party,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,21-25,60
Pontiac,Urban,Female,Married,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,26-30,60
Dodge,Urban,Male,Married,53,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,none,more than 7,Yes,No,External,none,4 to 8 years,2 vehicles,51-65,7
Mazda,Urban,Male,Married,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,36-40,61
Chevrolet,Rural,Male,Married,27,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,more than 4,6 years,No,Yes,External,none,no change,1 vehicle,26-30,60
Honda,Urban,Male,Single,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,26-30,60
Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,31-35,60
Honda,Urban,Male,Single,18,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,3 years,No,No,External,more than 5,no change,1 vehicle,18-20,60
Pontiac,Urban,Male,Married,60,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,51-65,61
Ford,Urban,Male,Married,53,Policy Holder,Sedan - Collision,more than 69000,0,400,3,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,51-65,60
Honda,Urban,Male,Single,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,26-30,61
Pontiac,Urban,Male,Married,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,26-30,60
Toyota,Urban,Male,Married,41,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,41-50,62
Toyota,Urban,Male,Married,29,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,26-30,2
Mercury,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,41-50,2
Toyota,Urban,Male,Married,34,Policy Holder,Sedan - All Perils,less than 20000,0,400,2,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,31-35,16
Honda,Urban,Male,Married,51,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,51-65,60
Pontiac,Urban,Male,Married,32,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,31-35,2
Chevrolet,Urban,Male,Married,52,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,5 to 8,51-65,1
Toyota,Urban,Male,Married,61,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,51-65,60
Toyota,Rural,Male,Single,25,Third Party,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,26-30,61
Mazda,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,41-50,60
Mazda,Urban,Male,Single,33,Third Party,Sedan - Liability,30000 to 39000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,31-35,60
Toyota,Rural,Male,Married,39,Policy Holder,Sedan - All Perils,30000 to 39000,1,400,3,more than 30,none,more than 7,No,No,External,more than 5,under 6 months,2 vehicles,36-40,27
Accura,Urban,Male,Single,30,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,31-35,61
Mazda,Urban,Male,Widow,50,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,51-65,60
Pontiac,Urban,Female,Married,31,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,31-35,60
Pontiac,Urban,Male,Single,23,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,more than 4,5 years,No,No,External,3 to 5,no change,1 vehicle,21-25,60
Pontiac,Urban,Male,Single,31,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,31-35,60
Honda,Urban,Male,Married,50,Third Party,Sedan - All Perils,20000 to 29000,0,500,3,more than 30,2 to 4,7 years,No,No,External,more than 5,2 to 3 years,1 vehicle,51-65,2
Honda,Urban,Female,Single,33,Third Party,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,31-35,60
Accura,Urban,Male,Married,30,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,more than 4,6 years,No,No,External,3 to 5,no change,1 vehicle,31-35,1
Mazda,Urban,Male,Married,44,Policy Holder,Sedan - Collision,40000 to 59000,0,400,1,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,41-50,1
Chevrolet,Urban,Male,Married,46,Policy Holder,Sedan - All Perils,more than 69000,0,400,2,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,41-50,5
Honda,Urban,Male,Single,31,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,31-35,1
Honda,Urban,Male,Married,48,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,41-50,60
Chevrolet,Urban,Male,Married,33,Policy Holder,Sedan - All Perils,more than 69000,1,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,31-35,5
